epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,399.455,1.13963,0.86459,1.10393,0.80383,0.61658,0.69008,0.47687,1.06057,0.75867,1.05457,0.000772214,0.000772214,0.000772214
154,402.042,1.13546,0.86902,1.07937,0.84332,0.60435,0.68289,0.47722,1.06601,0.77508,1.0562,0.000771314,0.000771314,0.000771314
155,404.586,1.17107,0.87442,1.06977,0.82389,0.63607,0.7048,0.49749,1.00917,0.7353,1.04295,0.000770414,0.000770414,0.000770414
156,407.2,1.16947,0.88959,1.1065,0.80221,0.62677,0.68686,0.49075,1.00284,0.73772,1.03409,0.000769514,0.000769514,0.000769514
157,409.756,1.15831,0.88374,1.07594,0.83657,0.6183,0.68993,0.48671,1.04314,0.74293,1.04582,0.000768614,0.000768614,0.000768614
158,412.337,1.19959,0.90882,1.10912,0.79999,0.64156,0.69512,0.49154,0.98733,0.73049,1.03334,0.000767714,0.000767714,0.000767714
159,414.997,1.18873,0.86626,1.11487,0.84625,0.60834,0.6843,0.48237,1.01934,0.77892,1.04149,0.000766814,0.000766814,0.000766814
160,417.722,1.11012,0.86114,1.10787,0.83079,0.63063,0.70015,0.4932,1.02166,0.75069,1.04184,0.000765914,0.000765914,0.000765914
161,420.481,1.17744,0.88721,1.0925,0.85414,0.61025,0.70798,0.49775,1.0116,0.72781,1.04202,0.000765014,0.000765014,0.000765014
162,423.24,1.11201,0.84578,1.06562,0.86259,0.61347,0.70805,0.50101,0.97188,0.71361,1.01988,0.000764114,0.000764114,0.000764114
163,425.923,1.13557,0.84179,1.06544,0.8508,0.63377,0.7147,0.50908,0.98015,0.70152,1.02871,0.000763215,0.000763215,0.000763215
164,428.71,1.15951,0.86269,1.12004,0.86419,0.6325,0.7131,0.50705,1.0102,0.72792,1.04434,0.000762315,0.000762315,0.000762315
